
유형	관	항	목
수입	급여	고정급여	고정급여
수입	급여	실업급여	고용노동부
수입	부수입	찬조비	가족
수입	부수입	찬조비	외부
수입	부수입	용돈	자식용돈
수입	연금	국민연금	연금공단
수입	연금	기초연금	보건복지부
수입	연금	주택연금	주택공사
수입	연금	개인연금	은행
수입	기타	기타	기타
지출	식비	부식비	식자재
지출	식비	부식비	과일류
지출	식비	정육비	돼지고기
지출	식비	정육비	기타고기
지출	식비	외식비	식사류
지출	식비	접대비	식사류
지출	식비	기타	기타
지출	의료비	병원비	한의원
지출	의료비	병원비	이비인후과
지출	의료비	병원비	정형외과
지출	의료비	병원비	치과
지출	의료비	병원비	안과
지출	의료비	약품비	처방약품
지출	의료비	약품비	약국약품
지출	의료비	기타	기타
지출	관리비	연료비	전기료
지출	관리비	연료비	도시가스
지출	관리비	수도료	수도료
지출	관리비	영선운영비	영선비
지출	관리비	기타	기타
지출	경조비	외부	부의금
지출	경조비	내부	부의금
지출	보험료	상조비	교원라이프
지출	보험료	생명보험	한화생명보험
지출	보험료	실비보험	메리츠보험
지출	보험료	실비보험	흥국화재보험
지출	통신비	이동통신	SKT
지출	통신비	이동통신	KT
지출	통신비	인터넷	SK브로드밴드
지출	회비	모임	가족모임
지출	회비	모임	친구모임
지출	교통비	대중교통비	전철비
지출	교통비	기타	기타
지출	자동차	공과금	자동차세
지출	자동차	유류비	승용차
지출	자동차	관리비	정비료
지출	자동차	기타	기타
지출	건강지원비	건강보조비	건강보조비
지출	건강지원비	건강보조비	목욕비
지출	건강지원비	체육활동비	시설이용비
지출	건강지원비	기타	기타
지출	의류잡비	의류비	의류비
지출	의류잡비	잡비	잡비
지출	의류잡비	기타	기타
지출	기타	기타	기타
